"食品分類","資料類別","整合編號","樣品名稱","俗名","樣品英文名稱","內容物描述","廢棄率","α-生育酚","α-維生素E當量(α-TE)","α-胡蘿蔔素","β-生育酚","β-胡蘿蔔素","γ-生育酚","δ-生育酚","磷","視網醇","視網醇當量(RE)","維生素A總量(IU)","維生素B1","維生素B12","維生素B2","維生素B6","維生素C","維生素D2","維生素D3","維生素D總量(IU)","維生素D總量(ug)","維生素E總量","維生素K1","維生素K2(MK-4)","維生素K2(MK-7)","菸鹼素","葉酸","鈉","鈣","鉀","銅","鋅","錳","鎂","鐵"
"加工調理食品及其他類","樣品基本資料","R2201001","冷凍冬菜蝦仁餛飩","雲吞","Wonton: cabbage and shrimp","冷凍包裝,混合均勻打碎(蝦仁,魚肉,蔬菜,麵粉等)",NA,0.08,0.38,0,0.59,0,0.08,0.05,90,1,1,3,0.08,0.33,0.06,0.01,0,0,0,0,0,0.8,0,0,0,1.1,0,316,33,127,0,0.6,0,20,1.1
"加工調理食品及其他類","樣品基本資料","R0900301","冷凍豬肉湯圓","","","冷凍包裝,混合均勻打碎(糯米,豬前腿等)",NA,0.24,0.29,0,0.03,0,0.31,0.21,351,2,2,7,0.13,0.14,0.05,0.02,0,0,0,0,0,0.79,0,0,0,0.9,0,210,6,72,0,0.8,0,10,0.4
"加工調理食品及其他類","樣品基本資料","R6200301","冷凍鮪排","","","冷凍包裝,混合均勻打碎(鮪魚,魚漿等)",NA,0.85,0.87,0,0.02,0,0.05,0.01,366,4,4,13,0.07,0.57,0.09,0.02,0,0,0,0,0,0.93,0,0,0,0.3,0,664,41,99,0,1.2,0,36,0.5
"澱粉類","樣品基本資料","B0500401","冷凍芋頭塊","","Taro: Frozen, chunk","生,冷凍產品,混合均勻打碎",NA,0,0,0,0,34,0,0,68,0,6,57,0.13,0,0.01,0.07,2.5,0,0,0,0,0,0,0,0,0.6,15.6,15,38,490,0,2,0,33,1.6
"魚貝類","樣品基本資料","J0415401","銀鯧(含皮)","白鯧,正鯧,銀鯧,支子","Silver pomfret; White pomfret","生,去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",45.2,0.49,0.51,0,0.04,0,0.02,0,107,14,14,47,0.01,1.9,0.14,0.07,0,0,0,0,0,0.55,0,0,0,1.7,16,315,8,183,0,0.6,0,35,0.3
"糕餅點心類","樣品基本資料","Q0800101","冷凍馬拉糕","","","冷凍包裝,混合均勻打碎(雞蛋,麵粉,牛奶等)",NA,0.69,1.13,0,0.3,5,2.64,0.87,129,54,55,190,0.03,0.25,0.23,0.09,0,0,0,0,0,4.5,0,0,0,0.85,20.3,166,49,140,0,0.6,0,13,0.8
"菇類","樣品基本資料","G1900201","美白菇","白鴻喜菇","beauty white shimeji; mei-bai-gu","生鮮,去菌柄基部,混合均勻打碎(鴻喜菇的白變種)",8.4,0,0,0,0,0,0,0,91,0,0,0,0.1,0.08,0.26,0.22,0.1,0,0,0,0,0,0,0,0,5.33,27.1,2,3,394,0,0.7,0,12,0.4
"加工調理食品及其他類","樣品基本資料","R4700201","豆干絲","","Beancurd noodles",",混合均勻打碎(黃豆,鹽,調味料等)",NA,0.22,0.58,0,0.17,0,2.33,1.43,277,0,0,0,0.01,0,0.01,0.01,0,0,0,0,0,4.15,0,0,0,0.17,6,549,287,45,0,2.4,0,41,6.2
"糕餅點心類","樣品基本資料","Q4100101","方塊酥","恩典酥,方塊酥","","熟食,混合均勻打碎",NA,0.38,0.46,26,0.1,69,0.34,0.01,66,4,18,150,0.07,0,0.04,0.06,0.7,0,0,0,0,0.83,0,0,0,0.6,1,4,13,98,0,0.5,0,18,1
"豆類","樣品基本資料","H1100101","毛豆仁","大豆,青大豆,青皮豆","Vegetable soy bean","生鮮,混合均勻打碎",NA,0.1,0.25,10,0.08,50,0.82,1.04,203,0,9,92,0.39,0,0.13,0.14,22.6,0,0,0,0,2.04,0,0,0,1.17,0,1,44,654,0,2.1,0,65,3.7
"肉類","樣品基本資料","I0400301","烏骨雞","竹絲雞,絲羽烏骨雞,武山雞,烏雞","Silkie bantam; Silky fowl","生,全雞肉,去頭尾,去翅膀及腳,去骨及內臟,混合均勻打碎",52.8,0.27,0.27,0,0,0,0.06,0.01,159,14,14,48,0.12,0.43,0.17,0.46,1,0,0,0,0,0.33,0,17.96,0,3.96,9.4,42,7,180,0,1.5,0,18,1.1
"肉類","樣品基本資料","I0300601","豬前腿外腱肉","豬腱,腱子肉","Foreshank","生,豬肩胛部位,混合均勻打碎",NA,0.31,0.31,0,0,0,0.02,0,193,4,4,14,0.47,0.86,0.25,0.36,4.6,0,0,0,0,0.33,0,0,0,3.63,3.8,71,4,316,0.003,4.5,0,21,1.4
"魚貝類","樣品基本資料","J0600201","鯛魚下巴","鯛魚喉","Tilapia chin","生,冷凍產品,去皮及骨刺,混合均勻打碎",57.4,3.05,3.22,0,0.15,0,0.93,0,144,11,11,37,0.02,1.98,0.05,0.14,0.7,0,0,0,0,4.13,0,0,0,2.11,19.3,38,62,224,0,0.6,0,22,0.2
"水果類","樣品基本資料","D2310201","帶殼龍眼乾","桂圓乾,龍目乾,圓眼乾","Longan: dried","生,去殼及子,混合均勻打碎",38.8,0,0.02,0,0,0,0.2,0.03,96,0,0,0,0.02,0,0.46,0.77,0,0,0,0,0,0.23,0,0,0,1.99,0,0,30,1044,0,0.6,0,31,0.9
"水果類","樣品基本資料","D1700401","美國紅葡萄(含皮)","蒲桃,蒲萄,草龍珠,蒲陶,葡桃","Grape","生鮮,有子種,紅皮,去子,含皮,混合均勻打碎",2.3,0.06,0.1,0,0.04,0,0.27,0.01,19,0,0,0,0.04,0,0.02,0.11,1.6,0,0,0,0,0.38,0,0,0,0.1,0,1,7,214,0,0.3,0,6,0.7
"飲料類","樣品基本資料","O0900601","麥片沖泡包(三合一)","","","沖泡包,混合均勻打碎",NA,11.59,11.64,0,0,0,0.46,0,524,839,839,2797,1.42,1.7,4.15,2.09,50.9,0,0,0,0,12.05,0,0,0,0,21,313,468,773,0,1.8,0,88,11.1
"糕餅點心類","樣品基本資料","Q0500401","蛋黃酥","","Egg-yolk cake","熟食,混合均勻打碎",NA,1.1,1.49,0,0.6,5,0.84,0.32,354,226,227,762,0.18,1.62,0.79,0.09,0,0,0,0,0,2.86,0,0,0,0.8,36,196,59,327,0,1.8,0,25,4.1
"豆類","樣品基本資料","H0610201","烘烤黑豆","烏豆,枝仔豆,黑大豆","Black bean: baked","熟,混合均勻打碎",NA,0,0,181,0,39,0,0,502,0,22,216,0.01,0,0.04,1.54,0.2,0,0,0,0,0,0,0,0,1.16,0,320,204,1430,0,3.6,0,206,8
"肉類","樣品基本資料","I0600201","茶鵝","","","熟,全茶鵝肉,以精選紅茶葉薰烤,含皮,去頭腳,去骨及內臟,混合均勻打碎",43.1,0.06,0.06,0,0,0,0.03,0,99,75,75,249,1.04,1.19,0.21,0.27,2,0,0,0,0,0.09,0,0,0,2.54,16,377,8,149,0,2.7,0,15,2.4
"堅果及種子類","樣品基本資料","C1750101","醃漬花生仁","土豆,長生果,落花生","Peanut: pickled","",NA,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.02,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0
"穀物類","樣品基本資料","A0351401","通心麵","","Pasta: macaroni","生,乾麵條,混合均勻打碎(蛋,麵粉等)",NA,0.12,0.21,0,0.05,0,0.69,0.01,136,0,0,0,0.14,0,0.05,0.15,5.9,0,0,0,0,0.86,0,0,0,1.69,53.9,25,12,171,0,0.8,0,44,1.5
"加工調理食品及其他類","樣品基本資料","R0200201","冷凍蝦仁炒飯","","Fried rice","冷凍包裝,混合均勻打碎(米,蝦仁,蔬菜等)",NA,0.34,0.58,0,0.08,0,1.8,0.74,44,0,0,0,0.02,0.18,0.02,0,0,0,0,0,0,2.96,0,0,0,0.5,0,222,24,44,0,0.4,0,10,0.6
